,,,,,,,,,
,METHOD,API,DESCRIPTION,NOTE FE,FE,REQUEST BODY,NOTE BE,BE,RESPONSE
,DELETE,/api/v1/pages/:id/follow,Bỏ theo dõi.,"Nút ""Unfollow"".",Null,(None),Action: DELETE khỏi bảng PAGE_FOLLOWS (Xóa cứng record theo Constraint 1.3.4.3).,Null,"200 OK:
{ ""status"": ""UNFOLLOWED"" }"
,GET,/api/v1/pages/:id/posts,Lấy bài đăng trên tường Page.,"Dùng chung UI List Post.

Scroll: ?limit=10",Null,"Query Params: limit, last_post_id.","Logic Uniform (Đã chốt ở Chunk 3):

SELECT * FROM posts p JOIN post_locations pl ...

WHERE pl.location_type = 'PAGE_TIMELINE' AND pl.location_id = :page_id.

(Lấy cả bài Page đăng và bài User khác đăng lên Page nếu có).",Null,"200 OK:
[ { ""post_id"": 500, ""author_type"": ""PAGE"", ... } ]"
,GET,/api/v1/pages/:id/roles,Xem danh sách quản trị viên.,"Tab ""Page Roles"" trong Settings (Chỉ Admin xem được).",Null,(None),"1. Auth: User gọi API phải là ADMIN của Page.

2. Query: SELECT * FROM page_roles JOIN users ....",Null,"200 OK:
[
 { ""user_id"": 10, ""name"": ""Nam"", ""role"": ""EDITOR"" }
]"
,POST,/api/v1/pages/:id/roles,Thêm/Sửa quyền quản trị.,"Form ""Add Person"". Nhập email user để tìm, sau đó chọn role.",Null,"{

 ""email"": ""user@test.com"",

 ""role"": ""EDITOR"" 

}","1. Auth: Chỉ ADMIN mới được quyền phân quyền.

2. Validate User: Tìm user qua email.

3. Constraint 1.3.4.2: Cặp (user_id, page_id) là duy nhất. Dùng ON DUPLICATE KEY UPDATE (nếu đã có quyền rồi thì sửa role, chưa có thì thêm mới).

4. Enum Check: Role phải thuộc {'ADMIN', 'EDITOR', 'MODERATOR', 'ANALYST'}.",Null,"200 OK:
{ ""message"": ""Role assigned"" }"
,DELETE,/api/v1/pages/:id/roles/:userId,Xóa quyền quản trị.,"Nút ""Remove"" cạnh tên nhân viên.",Null,(None),"1. Auth: Chỉ ADMIN.

2. Self-Check: Không cho phép tự xóa chính mình nếu là Admin duy nhất (để tránh Page mất chủ).

3. Action: Delete record PAGE_ROLES.",Null,"200 OK:
{ ""message"": ""Role removed"" }"
,GET,/api/v1/me/pages,Lấy danh sách Page tôi quản lý.,"Dùng cho menu ""Switch Profile"" hoặc ""Your Pages"" bên sidebar trái.",Null,(None),"Query: SELECT * FROM page_roles pr JOIN pages p ... WHERE pr.user_id = :me.

Trả về kèm role để FE biết user có quyền gì ở từng page.",Null,"200 OK:
[
 { ""page_id"": 99, ""name"": ""Shop"", ""role"": ""ADMIN"" }
]"
,Events,,,,,,,,
,POST,/api/v1/events,Tạo sự kiện mới.,"UI Form:

Chọn Host (Mình hoặc Page mình quản lý).

Chọn Privacy (Public/Private/Friends).",Null,"{

 ""event_name"": ""Tiệc Tất Niên"",

 ""start_time"": ""2025-12-31T20:00:00"",

 ""location_text"": ""Sân Mỹ Đình"",

 ""privacy_setting"": ""PUBLIC"",

 ""host_type"": ""USER"",

 ""host_id"": 1

}","1. Auth Host:

- Nếu host_type='PAGE', check quyền Admin/Editor của user với host_id.

- Nếu host_type='USER', host_id phải là me.

2. Insert: Bảng EVENTS.

3. Publish: Tự động tạo record trong EVENT_PUBLICATIONS (đăng lên tường host).",Null,"201 Created:

{ ""event_id"": 500 }"
,GET,/api/v1/events/:id,Xem chi tiết sự kiện.,Hiển thị nút RSVP (Going/Interested) dựa trên my_status.,Null,(None),"1. Privacy Check (Constraint 1.3.8.3): 2



- Nếu PRIVATE: User phải là Host hoặc được mời/đã tham gia.

2. Populate: Join USERS/PAGES để lấy thông tin Host.",Null,"200 OK:

{

 ""event_id"": 500,

 ""name"": ""..."",

 ""my_rsvp"": ""GOING""

}"
,PUT,/api/v1/events/:id,Cập nhật sự kiện.,Chỉ Host mới thấy nút Edit.,Null,"{ ""location_text"": ""Đổi địa điểm..."" }",Auth: Chỉ Host (hoặc Admin của Page host) mới được sửa.,Null,"200 OK:

{ ""message"": ""Updated"" }"
,POST,/api/v1/events/:id/rsvp,Phản hồi tham gia (RSVP).,"Các nút: ""Sẽ đi"", ""Quan tâm"", ""Không đi"".",Null,"{ ""status"": ""GOING"" }","Constraint 1.3.8.1 (Upsert): 3



Một user chỉ có tối đa 1 record trong EVENT_PARTICIPANTS cho 1 event.

- Nếu chưa có: INSERT.

- Nếu có rồi: UPDATE rsvp_status.",Null,"200 OK:

{ ""status"": ""GOING"" }"
,GET,/api/v1/events/:id/participants,Xem danh sách người tham gia.,"Popup ""Ai sẽ đi?"".",Null,Query: status=GOING,Query: SELECT * FROM event_participants JOIN users ....,Null,"200 OK:

[ { ""user_id"": 1, ""name"": ""..."" } ]"
,GET,/api/v1/events,Lấy danh sách sự kiện của tôi.,"Tab ""My Events"". Bao gồm sự kiện tôi Host và tôi tham gia.",Null,Query: type=HOSTING hoặc type=GOING.,Query: Filter dựa trên bảng EVENTS (host) hoặc EVENT_PARTICIPANTS (user_id=me).,Null,"200 OK:

[ { ""event_id"": 500, ""name"": ""..."" } ]"
,Reports & Moderation,,,,,,,,
,GET,/api/v1/reports/reasons,Lấy danh sách lý do báo cáo.,"Gọi API này khi user bấm nút ""Report"" để hiển thị Dropdown lý do (VD: Spam, Lừa đảo).",Null,(None),Query: Select toàn bộ bảng REPORT_REASONS (Metadata). 5,Null,"200 OK:

[

 { ""reason_id"": 1, ""title"": ""Spam"" },

 { ""reason_id"": 2, ""title"": ""Hate Speech"" }

]"
,POST,/api/v1/reports,Gửi báo cáo vi phạm.,Form report.,Null,"{

 ""target_type"": ""POST"",

 ""target_id"": 100,

 ""reason_id"": 1

}","1. Constraint 1.3.9.1: 6



Không cho phép user report chính bài viết/comment của mình.

2. Constraint 1.3.9.2 (Anti-Spam): 7



Check trong 24h qua, user này đã report target này với cùng reason chưa? Nếu rồi -> Bỏ qua hoặc Merge.

3. Insert: REPORTS với status=PENDING.",Null,"201 Created:

{ ""report_id"": 999, ""message"": ""Thanks for reporting"" }"
,GET,/api/v1/admin/reports,(Admin Only) Xem danh sách báo cáo.,Dashboard quản trị (CMS).,Null,Query: status=PENDING,Auth: User phải có Role hệ thống là ADMIN hoặc MODERATOR (trong bảng USER_ROLES). 8,Null,"200 OK:

[ { ""report_id"": 999, ""reason"": ""Spam"", ""target"": {...} } ]"
,POST,/api/v1/admin/reports/:id/resolve,(Admin Only) Xử lý báo cáo.,"Admin quyết định: Xóa bài, Ban user, hoặc Bỏ qua.",Null,"{

 ""action_taken"": ""DELETE_CONTENT"",

 ""notes"": ""Vi phạm nặng""

}","1. Constraint 1.3.9.3 (Cascade): 9



Nếu action='DELETE_CONTENT': Backend phải Soft Delete bài viết/comment đó.

2. Log: Insert vào REPORT_ACTIONS để lưu lịch sử xử lý.

3. Update: Set REPORTS.status = 'ACTION_TAKEN'.",Null,"200 OK:

{ ""status"": ""RESOLVED"" }"
